time,linear,angular
2024/04/28 19:33:12.481779771,"{'x': 0.17789473684210527, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/04/28 19:33:12.531807393,"{'x': 0.17789473684210527, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/04/28 19:33:12.581769305,"{'x': 0.16421052631578947, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:12.631736807,"{'x': 0.16421052631578947, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/04/28 19:33:12.681827461,"{'x': 0.16421052631578947, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/04/28 19:33:12.731757042,"{'x': 0.15052631578947367, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.05263157894736836}"
2024/04/28 19:33:12.781746464,"{'x': 0.15052631578947367, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/04/28 19:33:12.831783697,"{'x': 0.025526315789473675, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.10736842105263153}"
2024/04/28 19:33:12.881769939,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:12.931774712,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:12.981714883,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.31736286,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.81747448,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.131746640,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.181729432,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.231742275,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.281742757,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.331781430,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.381747902,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.431748744,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.481734146,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.531757119,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.581742550,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.1578947368421052}"
2024/04/28 19:33:13.631777744,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:13.681790846,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:13.731774338,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:13.781748490,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:13.831769722,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:13.881759334,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:13.931783267,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:13.981733098,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:14.31764391,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:14.81758413,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:14.131804776,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/04/28 19:33:14.181732887,"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
