time,linear,angular
2024/05/01 11:06:45.838663877,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:45.888554096,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:45.938621428,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:45.988573678,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.38617259,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.88579598,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.138637889,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.188553957,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.238606038,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.288621949,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.338593338,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.388581318,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.438616338,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.488550637,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
